tconst,titleType,originalTitle,title,startYear,runtimeMinutes,averageRating,numVotes,Main_genre,Sub_genre_1,Sub_genre_2,Directors,birthYear,deathYear,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
tt0035423,movie,Kate & Leopold,Kate et Léopold,2001,118,6.4,79575.0,Romance,Fantasy,Comedy,James Mangold,1963.0,0.0,Stephen A. Baker,Ted Barela,Cornelius Patrick Byrne,Guy Charbonneau,Pete Corby
tt0043265,movie,The African Queen,La Reine africaine,1951,105,7.7,72241.0,Romance,Drama,Adventure,John Huston,1906.0,1987.0,Theodore Bikel,Jack Cardiff,Angela Allen,Cliff Richardson,Wilfred Shingleton
tt0043278,movie,An American in Paris,Un Américain à Paris,1951,114,7.2,30917.0,Romance,Musical,Drama,Vincente Minnelli,1903.0,1986.0,George Gershwin,Robert Ames,Rodney Bieber,Dino Bolognese,Louise Colombet
tt0043338,movie,Ace in the Hole,Le gouffre aux chimères,1951,111,8.1,32132.0,Film-Noir,Drama,,Billy Wilder,1906.0,2002.0,Kirk Douglas,Charles Griffin,Geraldine Hall,Frank Keith,Walter Newman
tt0043456,movie,The Day the Earth Stood Still,Mission spatiale : Le Jour où la Terre s'arrêta,1951,92,7.7,76693.0,Sci-Fi,Drama,,Robert Wise,1914.0,2005.0,Billy Gray,Glenn Hardy,Gabriel Heatter,Sam Jaffe,Charles Le Maire
tt0043924,movie,A Place in the Sun,Une place au soleil,1951,122,7.8,20512.0,Romance,Drama,,George Stevens,1904.0,1975.0,Montgomery Clift,Lulu Mae Bohrman,Keefe Brasselle,Lois Chartrand,Charles C. Coleman
tt0044079,movie,Strangers on a Train,L'Inconnu du Nord-Express,1951,101,7.9,124368.0,Thriller,Film-Noir,Crime,Alfred Hitchcock,1899.0,1980.0,Ray Heindorf,Gordon Bau,John Brown,Whitfield Cook,Robert Gist
tt0044081,movie,A Streetcar Named Desire,Un tramway nommé désir,1951,122,8.0,100194.0,Drama,,,Elia Kazan,1909.0,2003.0,Vivien Leigh,Kim Hunter,Elia Kazan,Karl Malden,Ann Dere
tt0044121,movie,The Thing from Another World,La chose d'un autre monde,1951,87,7.1,26205.0,Sci-Fi,Horror,,,,,Robert Cornthwaite,Eduard Franz,Edward Lasker,Charles Opunui,Douglas Spencer
tt0044706,movie,High Noon,Le train sifflera trois fois,1952,85,7.9,98271.0,Western,Thriller,Drama,Fred Zinnemann,1907.0,1997.0,Gary Cooper,Floyd Crosby,Emmett Emerson,Carl Foreman,Joe King
tt0044741,movie,Ikiru,Vivre,1952,143,8.3,70023.0,Drama,,,Akira Kurosawa,1910.0,1998.0,Shin'ichi Himori,Hiromichi Horikawa,Isao Kimura,Georges Koger,Teruo Maki
tt0044837,movie,Limelight,Les feux de la rampe,1952,137,8.1,18530.0,Romance,Music,Drama,Charles Chaplin,1889.0,1977.0,Claire Bloom,Sydney Chaplin,Andre Eglevsky,Ray Rasch,Riley Thorne
tt0045061,movie,The Quiet Man,L'homme tranquille,1952,129,7.7,35452.0,Romance,Drama,Comedy,John Ford,1894.0,1973.0,Victor Young,Ward Bond,May Craig,Frank Hotaling,David Hughes
tt0045152,movie,Singin' in the Rain,Chantons sous la pluie,1952,103,8.3,222036.0,Romance,Musical,Comedy,,,,Gene Kelly,Stanley Donen,Nacio Herb Brown,Dorinda Clifton,Betty Comden
tt0045274,movie,Umberto D.,Umberto D.,1952,89,8.2,23396.0,Drama,,,Vittorio De Sica,1901.0,1974.0,Luisa Alessandri,Carlo Battisti,Virgilio Marchi,Roberto Moretti,Ennio Sensi
tt0045555,movie,The Big Heat,Règlement de comptes,1953,89,8.0,24057.0,Thriller,Film-Noir,Crime,Fritz Lang,1890.0,1976.0,Jocelyn Brando,Milton Feldman,Jimmy Gray,Jeanette Nolan,Alexander Scourby
tt0045793,movie,From Here to Eternity,Tant qu'il y aura des hommes,1953,118,7.6,43877.0,War,Romance,Drama,Fred Zinnemann,1907.0,1997.0,Frank Sinatra,Donna Reed,Morris Stoloff,Moana Gleason,Henry Helfman
tt0045810,movie,Gentlemen Prefer Blondes,Les hommes préfèrent les blondes,1953,91,7.2,32268.0,Romance,Musical,Comedy,Howard Hawks,1896.0,1977.0,Harold Adamson,Steve Benton,Marcel Dalio,Josette Deegan,Arthur Dulac
tt0045888,movie,House of Wax,L'Homme au masque de cire,1953,88,7.1,16448.0,Horror,,,André De Toth,1913.0,2002.0,Milton Gunzburg,Mary Lou Holloway,Jean-Pierre Steimer,Milton Gunzburg,Mary Lou Holloway
tt0045891,movie,How to Marry a Millionaire,Comment épouser un millionnaire,1953,95,6.9,20733.0,Romance,Drama,Comedy,Jean Negulesco,1900.0,1993.0,Lida Thomas,Lida Thomas,Zoe Akins,John Van Wormer,Marie Brasselle
tt0045897,movie,I Confess,La loi du silence,1953,95,7.3,19339.0,Thriller,Drama,Crime,Alfred Hitchcock,1899.0,1980.0,Paul Anthelme,O.E. Hasse,Paul Anthelme,O.E. Hasse,William Archibald
tt0046126,movie,Niagara,Niagara,1953,92,7.0,15182.0,Thriller,Film-Noir,,Henry Hathaway,1898.0,1985.0,Richard Allan,Joseph Eger,Audre Monture,Denis O'Dea,Max Showalter
tt0046250,movie,Roman Holiday,Vacances romaines,1953,118,8.0,128764.0,Romance,Comedy,,William Wyler,1902.0,1981.0,Eddie Albert,Franz Planer,Joseph de Bretagne,Gorella Gori,Ian McLellan Hunter
tt0046268,movie,Le salaire de la peur,Le salaire de la peur,1953,131,8.1,55544.0,Thriller,Drama,Adventure,Henri-Georges Clouzot,1907.0,1977.0,Georges Bouban,Henri-Georges Clouzot,Henri Jaquillard,Louis Née,William Robert Sivel
tt0046303,movie,Shane,L'Homme des vallées perdues,1953,118,7.6,37503.0,Western,Drama,,George Stevens,1904.0,1975.0,Alan Ladd,Van Heflin,Loyal Griggs,Helen Brown,John R. Coonan
tt0046359,movie,Stalag 17,Stalag 17,1953,120,8.0,51393.0,War,Drama,Comedy,Billy Wilder,1906.0,2002.0,Peter Baldwin,Donald Bevan,Don English,Peter Graves,Harvey Lembeck
tt0046438,movie,Tôkyô monogatari,Conte de Tokyo,1953,136,8.2,54519.0,Drama,,,Yasujirô Ozu,1903.0,1963.0,Tatsuo Hamada,Yoshiyasu Hamamura,Chieko Higashiyama,Mitsuhiro Môri,Shirô Ôsaka
tt0046478,movie,Ugetsu monogatari,Les contes de la lune vague après la pluie,1953,96,8.3,21308.0,War,Fantasy,Drama,Kenji Mizoguchi,1898.0,1956.0,Ichirô Amano,Takaji Fukui,Kisaku Itô,Tadaoto Kainoshô,Masayoshi Kikuno
tt0046487,movie,Les vacances de Monsieur Hulot,Les vacances de M. Hulot,1953,114,7.4,17061.0,Comedy,,,Jacques Tati,1907.0,1982.0,Pierre Clauzel,Roger Cosson,René Lacourt,Henri Marquet,Pierre Clauzel
tt0046521,movie,I vitelloni,Les inutiles,1953,109,7.9,16547.0,Drama,Comedy,,Federico Fellini,1920.0,1993.0,Franco Fabrizi,Danilo Fallani,Moraldo Rossi,Leonora Ruffo,Enrico Viarisio
tt0046534,movie,The War of the Worlds,La Guerre des mondes,1953,85,7.1,33017.0,Thriller,Sci-Fi,Action,Byron Haskin,1899.0,1984.0,Romaine Birkmeyer,Henry Brandon,Soldier Graham,Cedric Hardwicke,Walter Hoffman
tt0046672,movie,"20,000 Leagues Under the Sea",20.000 lieues sous les mers,1954,127,7.2,29897.0,Family,Drama,Adventure,Richard Fleischer,1916.0,2006.0,James Mason,Adam John Backauskas,Ted de Corsia,Richard Fleischer,Til Gabani
tt0046816,movie,The Caine Mutiny,Ouragan sur le Caine,1954,124,7.7,24631.0,War,Drama,,Edward Dmytryk,1908.0,1999.0,Edward Dmytryk,Fred MacMurray,Jay Richards,Stanley Roberts,May Wynn
tt0046911,movie,Les diaboliques,Les diaboliques,1955,117,8.0,62028.0,Horror,Drama,Crime,Henri-Georges Clouzot,1907.0,1977.0,Armand Thirard,Léon Barsacq,Jean Brochard,Georges Chamarat,Thérèse Dorny
tt0046912,movie,Dial M for Murder,Le crime était presque parfait,1954,105,8.2,160739.0,Thriller,Crime,,Alfred Hitchcock,1899.0,1980.0,Dimitri Tiomkin,Anthony Dawson,Rudi Fehr,Oliver S. Garretson,Robert Garvin
tt0047034,movie,Gojira,Godzilla,1954,96,7.6,30343.0,Thriller,Sci-Fi,Horror,Ishirô Honda,1911.0,1993.0,Shizuko Azuma,Hiroshi Hayashi,Ren Imaizumi,Shigeru Kayama,Kyuichirô Kishida
tt0047136,movie,Johnny Guitar,Johnny Guitar,1954,110,7.7,15911.0,Western,Drama,,Nicholas Ray,1911.0,1979.0,Scott Brady,Frank Ferguson,Mercedes McCambridge,Sheila O'Brien,
tt0047296,movie,On the Waterfront,Sur les quais...,1954,108,8.1,143903.0,Thriller,Drama,Crime,Elia Kazan,1909.0,2003.0,Lee J. Cobb,Leif Erickson,Leonard Bernstein,Richard Day,Jere Delaney
tt0047396,movie,Rear Window,Fenêtre sur cour,1954,112,8.4,449773.0,Thriller,Mystery,,Alfred Hitchcock,1899.0,1980.0,Ross Bagdasarian,Barbara Bailey,Robert Burks,Jesslyn Fax,Rand Harper
tt0047437,movie,Sabrina,Sabrina,1954,113,7.7,60175.0,Romance,Drama,Comedy,Billy Wilder,1906.0,2002.0,William Holden,Billy Wilder,John Williams,Louiguy,James Carlisle
tt0047472,movie,Seven Brides for Seven Brothers,Les sept femmes de Barberousse,1954,102,7.4,21575.0,Musical,Drama,Comedy,Stanley Donen,1924.0,2019.0,Adolph Deutsch,Jack Cummings,Jacques d'Amboise,Dante DiPaolo,Alvord Eiseman
tt0047478,movie,Shichinin no samurai,Les Sept Samouraïs,1954,207,8.6,319925.0,Drama,Adventure,Action,Akira Kurosawa,1910.0,1998.0,Ichirô Chiba,Kôhei Ezaki,Shôichi Hirose,Yoshikazu Kawamata,Yoshio Kosugi
tt0047522,movie,A Star Is Born,Une étoile est née,1954,154,7.6,16213.0,Romance,Musical,Drama,George Cukor,1899.0,1983.0,Judy Garland,Charles Bickford,Jack Carson,Richard Barstow,Lisze Bechtold
tt0047528,movie,La strada,La strada,1954,108,8.0,58981.0,Drama,,,Federico Fellini,1920.0,1993.0,Richard Basehart,Otello Martelli,Lina Caterini,Leo Catozzo,Angelo Cittadini
tt0047573,movie,Them!,Des monstres attaquent la ville,1954,94,7.2,20163.0,Sci-Fi,Horror,,Gordon Douglas,1907.0,1993.0,G.W. Berntsen,Lynn Craft,Mary Alan Hokanson,Don Shelton,Onslow Stevens
tt0047673,movie,White Christmas,Noël blanc,1954,120,7.6,34674.0,Romance,Musical,Comedy,Michael Curtiz,1886.0,1962.0,Bing Crosby,Bea Allen,John Brascia,John Cope,Melvin Frank
tt0047849,movie,Bad Day at Black Rock,Un homme est passé,1955,81,7.7,19707.0,Mystery,Drama,Crime,John Sturges,1910.0,1992.0,Howard Breslin,Russell Collins,Herman Hoffman,John Sturges,Howard Breslin
tt0048021,movie,Du rififi chez les hommes,Du rififi chez les hommes,1955,118,8.1,30104.0,Thriller,Drama,Crime,Jules Dassin,1911.0,2008.0,Georges Auric,Charles Akerman,René Bezard,Pierre Charron,Jacques David
tt0048028,movie,East of Eden,À l'est d'Eden,1955,118,7.9,40966.0,Drama,,,Elia Kazan,1909.0,2003.0,Rose Allen,Stanley Jones,Mike Marienthal,Raymond Massey,Rose Allen
tt0048140,movie,Guys and Dolls,Blanches colombes et vilains messieurs,1955,150,7.1,15977.0,Musical,Crime,Comedy,Joseph L. Mankiewicz,1909.0,1993.0,Jean Simmons,Vivian Blaine,Sheldon Leonard,Albert Sendrey,Jean Simmons
tt0048261,movie,Kiss Me Deadly,En quatrième vitesse,1955,106,7.6,18882.0,Mystery,Film-Noir,Crime,Robert Aldrich,1918.0,1983.0,Robert Aldrich,Jack Elam,Jack R. Berne,Maxine Cooper,Albert Dekker
tt0048281,movie,The Ladykillers,Tueurs de dames,1955,91,7.7,26953.0,Crime,Comedy,,Alexander Mackendrick,1912.0,1993.0,Danny Green,Felicia Manheim,Dock Mathieson,John Meadows,Sydney Pearson
tt0048356,movie,Marty,Marty,1955,90,7.7,21966.0,Romance,Drama,,Delbert Mann,1920.0,2007.0,Joe Bell,Agnes Flanagan,Harold Hecht,Joe Bell,Agnes Flanagan
tt0048380,movie,Mister Roberts,Permission jusqu'à l'aube,1955,123,7.7,15533.0,War,Drama,Comedy,,,,Thomas Heggen,Stubby Kruger,Art Loel,Merle MacBain,William A. Mueller
tt0048424,movie,The Night of the Hunter,La nuit du chasseur,1955,92,8.0,82938.0,Film-Noir,Drama,Crime,Charles Laughton,1899.0,1962.0,Robert Mitchum,James Agee,Sally Jane Bruce,Evelyn Carruth,Don L. Cash
tt0048473,movie,Pather Panchali,La complainte du sentier,1955,125,8.6,24122.0,Drama,,,Satyajit Ray,1921.0,1992.0,Satyajit Ray,Karuna Bannerjee,Subir Banerjee,Santi Chatterjee,Anil Choudhury
tt0048545,movie,Rebel Without a Cause,La Fureur de vivre,1955,111,7.7,84480.0,Drama,,,Nicholas Ray,1911.0,1979.0,James Dean,Sal Mineo,Corey Allen,Marietta Canty,William Hopper
tt0048605,movie,The Seven Year Itch,7 ans de réflexion,1955,105,7.1,34544.0,Romance,Comedy,,Billy Wilder,1906.0,2002.0,Milton R. Krasner,George Axelrod,George W. Davis,Ray Kellogg,Harry M. Leonard
tt0048728,movie,To Catch a Thief,La main au collet,1955,106,7.4,66443.0,Thriller,Romance,Mystery,Alfred Hitchcock,1899.0,1980.0,Cary Grant,Grace Kelly,Georgette Anys,Kathleen Desmond,Arthur Krams
tt0048750,movie,The Trouble with Harry,Mais qui a tué Harry?,1955,99,7.1,34213.0,Mystery,Comedy,,Alfred Hitchcock,1899.0,1980.0,Shirley MacLaine,Parker Fennelly,John B. Goodman,Howard Joslin,Harold Lewis
tt0048960,movie,Around the World in 80 Days,Le tour du monde en 80 jours,1956,167,6.8,25134.0,Family,Comedy,Adventure,,,,Abdullah Abbas,Panchita Acosta,Frances Adams,William Angelo,Bunny Armstrong
tt0049223,movie,Forbidden Planet,Planète interdite,1956,98,7.6,45724.0,Sci-Fi,Adventure,Action,Fred M. Wilcox,1907.0,1964.0,Leslie Nielsen,George J. Folsey,Bebe Barron,James Drury,A. Arnold Gillespie
tt0049261,movie,Giant,Géant,1956,201,7.6,34602.0,Western,Drama,,George Stevens,1904.0,1975.0,Carroll Baker,Philip W. Anderson,Elsa Cárdenas,Pilar Del Rey,Manuel Emanuel
tt0049366,movie,Invasion of the Body Snatchers,L'invasion des profanateurs de sépultures,1956,80,7.7,45412.0,Sci-Fi,Horror,Drama,Don Siegel,1912.0,1991.0,Ellsworth Fredericks,William Beaudine Jr.,Ralph Butler,Bobby Clark,Jack Finney
tt0049406,movie,The Killing,L'ultime razzia,1956,84,8.0,82698.0,Film-Noir,Drama,Crime,Stanley Kubrick,1928.0,1999.0,Jay Adler,Lou Cortese,Cecil Elliott,Paul Feiner,Mary Gibsone
tt0049408,movie,The King and I,Le roi et moi,1956,133,7.4,23975.0,Musical,Drama,Biography,Walter Lang,1896.0,1972.0,Dennis Bonilla,Thomas Bonilla,Mary Lou Clifford,Eli Dunn,Amir Farr
tt0049470,movie,The Man Who Knew Too Much,L'homme qui en savait trop,1956,120,7.4,59422.0,Thriller,Drama,,Alfred Hitchcock,1899.0,1980.0,Arthur Benjamin,Hillary Brooke,Abdelhaq Chraibi,Herbert Coleman,Pauline Farr
tt0049513,movie,Moby Dick,Moby Dick,1956,116,7.3,17207.0,Drama,Adventure,,John Huston,1906.0,1987.0,Ray Bradbury,Francis De Wolff,Vaughan N. Dean,Jim Hole,Friedrich von Ledebur
tt0049730,movie,The Searchers,La Prisonnière du désert,1956,119,7.9,81381.0,Western,Drama,Adventure,John Ford,1894.0,1973.0,Alfred Gilks,Merian C. Cooper,Ken Curtis,Victor A. Gangelin,Bryan 'Slim' Hightower
tt0049833,movie,The Ten Commandments,Les dix commandements,1956,220,7.9,65279.0,Drama,Adventure,,Cecil B. DeMille,1881.0,1959.0,Charlton Heston,Judith Anderson,Anne Baxter,Yul Brynner,Cecil B. DeMille
tt0049902,movie,Un condamné à mort s'est échappé ou Le vent souffle où il veut,Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,101,8.3,19695.0,War,Thriller,Drama,Robert Bresson,1901.0,1999.0,Jacques Ballanche,Maurice Beerblock,Henri Raichi,Jean Thuillier,Jacques Ballanche
tt0050083,movie,12 Angry Men,Douze Hommes en colère,1957,96,9.0,702166.0,Drama,Crime,,Sidney Lumet,1924.0,2011.0,Henry Fonda,George Justin,Carl Lerner,Reginald Rose,Henry Fonda
tt0050086,movie,3:10 to Yuma,3h10 pour Yuma,1957,92,7.6,18436.0,Western,Thriller,Drama,Delmer Daves,1904.0,1977.0,Norma Zimmer,Norma Zimmer,Van Heflin,Sheridan Comerate,Henry Jones
tt0050105,movie,An Affair to Remember,Elle et lui,1957,115,7.5,27995.0,Romance,Musical,Drama,Leo McCarey,1896.0,1969.0,Deborah Kerr,Delmer Daves,Paul S. Fox,Gilbert Mandelik,Neva Patterson
tt0050212,movie,The Bridge on the River Kwai,Le pont de la rivière Kwaï,1957,161,8.1,205868.0,War,Drama,Adventure,David Lean,1908.0,1991.0,Rusty Coppleman,Teddy Darvas,Janet Davidson,Geoffrey Drake,Peter Dukelow
tt0050419,movie,Funny Face,Drôle de frimousse,1957,103,7.0,27629.0,Romance,Musical,Comedy,Stanley Donen,1924.0,2019.0,Frank Bracht,Alex Gerry,Virginia Gibson,Albert Godderis,Ray June
tt0050539,movie,The Incredible Shrinking Man,L'homme qui rétrécit,1957,81,7.6,16390.0,Sci-Fi,Horror,,Jack Arnold,1916.0,1992.0,Harris Ashburn,Foster Carling,Diana Darrin,Roswell A. Hoffmann,April Kent
tt0050613,movie,Kumonosu-jo,Le trone sanglant,1957,110,8.1,47457.0,History,Drama,,Akira Kurosawa,1910.0,1998.0,Shigeru Endo,Seiji Miyaguchi,Jun Ôtomo,Hiroshi Tachikawa,Akira Tani
tt0050634,movie,Letyat zhuravli,Quand passent les cigognes,1957,95,8.3,15429.0,War,Romance,Drama,Mikhail Kalatozov,1903.0,1973.0,Aleksey Batalov,Antonina Bogdanova,Klarina Frolova-Vorontsova,Boris Kokovkin,Ekaterina Kupriyanova
tt0050706,movie,Mon oncle,Mon oncle,1958,116,7.8,19114.0,Comedy,,,Jacques Tati,1907.0,1982.0,Franck Barcellini,Max Martel,René Silvera,Franck Barcellini,Max Martel
tt0050783,movie,Le notti di Cabiria,Les nuits de Cabiria,1957,110,8.1,43527.0,Drama,,,Federico Fellini,1920.0,1993.0,Dominique Delouche,Ennio Girolami,Elio Mauro,Amedeo Nazzari,François Périer
tt0050825,movie,Paths of Glory,Les sentiers de la gloire,1957,88,8.4,181064.0,War,Drama,,Stanley Kubrick,1928.0,1999.0,Fred Bell,Ilse Dubois,Eva Kroll,Christiane Kubrick,Ludwig Reiber
tt0050976,movie,Det sjunde inseglet,Le septième sceau,1957,96,8.2,168046.0,History,Fantasy,Drama,Ingmar Bergman,1918.0,2007.0,Gunnar Fischer,Allan Ekelund,Katinka Faragó,Åke Fridell,Gun Hammargren
tt0050986,movie,Smultronstället,Les fraises sauvages,1957,91,8.2,98186.0,Romance,Drama,,Ingmar Bergman,1918.0,2007.0,Ingmar Bergman,Lena Bergman,Gunnar Björnstrand,Maud Hansson,Erik Nordgren
tt0051036,movie,Sweet Smell of Success,Le Grand Chantage,1957,96,8.0,28672.0,Film-Noir,Drama,,Alexander Mackendrick,1912.0,1993.0,Tony Curtis,Joe Frisco,Richard Maybery,Richard McWhorter,Tony Curtis
tt0051201,movie,Witness for the Prosecution,Témoin à charge,1957,116,8.4,111096.0,Mystery,Drama,Crime,Billy Wilder,1906.0,2002.0,Walter Bacon,Howard Bristol,Harry Kurnitz,Ralph Arthur Roberts,John Roy
tt0051207,movie,The Wrong Man,Le faux coupable,1956,105,7.4,26090.0,Film-Noir,Drama,,Alfred Hitchcock,1899.0,1980.0,Sammy Armaro,Laurinda Barrett,Kippy Campbell,Charles Cooper,Earl Crain Sr.
tt0051378,movie,Ascenseur pour l'échafaud,Ascenseur pour l'échafaud,1958,91,8.0,22708.0,Thriller,Drama,Crime,Louis Malle,1932.0,1995.0,Elga Andersen,Madeleine Bibollet,Micheline Bona,Francine Corteggiani,Raymond Gauguier
tt0051411,movie,The Big Country,Les grands espaces,1958,166,7.9,16088.0,Western,Romance,,William Wyler,1902.0,1981.0,Tom Andre,Rudy Bowman,Wallace Chewning,Martha Crawford,Al Gonzales
tt0051418,movie,The Blob,Danger planétaire,1958,86,6.4,23775.0,Sci-Fi,Horror,,,,,Molly Ann Bourne,Stephen Chase,Frank B. Fuhr,Alfred Hillmann,George Karas
tt0051459,movie,Cat on a Hot Tin Roof,La Chatte sur un toit brûlant,1958,108,8.0,45783.0,Drama,,,Richard Brooks,1912.0,1992.0,William H. Daniels,Burl Ives,Vaughn Taylor,Lawrence Weingarten,William H. Daniels
tt0051554,movie,Dracula,Le cauchemar de Dracula,1958,82,7.3,21314.0,Horror,Drama,,Terence Fisher,1904.0,1980.0,Doreen Dearnaley,Valerie Gaunt,Carol Marsh,Charles Lloyd Pack,Melissa Stribling
tt0051622,movie,The Fly,La Mouche noire,1958,94,7.1,21062.0,Sci-Fi,Horror,Drama,Kurt Neumann,1908.0,1958.0,Paul Sawtell,Eli Benneche,Eugene Grossman,David Hedison,Charles Herbert
tt0051808,movie,Kakushi-toride no san-akunin,La forteresse cachée,1958,139,8.1,35501.0,Drama,Adventure,,Akira Kurosawa,1910.0,1998.0,Minoru Chiaki,Kôichi Hamamura,Ienori Kaneko,Ryûzô Kikushima,Haruo Nakajima
tt0052311,movie,Touch of Evil,La soif du mal,1958,95,8.0,99179.0,Film-Noir,Drama,Crime,Orson Welles,1915.0,1985.0,Marlene Dietrich,Albert Zugsmith,Barney Kessel,Shelly Manne,Whit Masterson
tt0052357,movie,Vertigo,Sueurs froides,1958,128,8.3,369530.0,Thriller,Romance,Mystery,Alfred Hitchcock,1899.0,1980.0,Saul Bass,Jack Ano,Ellen Corby,John Ferren,John P. Fulton
tt0052561,movie,Anatomy of a Murder,Autopsie d'un meurtre,1959,161,8.0,60612.0,Mystery,Drama,Crime,Otto Preminger,1905.0,1986.0,Eve Arden,Ben Gazzara,Royal Beal,Hope Bryce,Jimmy Conlin
tt0052618,movie,Ben-Hur,Ben-Hur,1959,212,8.1,222115.0,History,Drama,Adventure,William Wyler,1902.0,1981.0,Robert Surtees,Gus Agosti,Sash Fisher,John Glenn,Hugh Hunt
tt0052893,movie,Hiroshima mon amour,Hiroshima mon amour,1959,90,7.9,28977.0,Romance,Drama,,Alain Resnais,1922.0,2014.0,Pierre Barbaud,Denys Clerval,René Renault,Pierre Barbaud,Denys Clerval
tt0052948,movie,Journey to the Center of the Earth,Voyage au centre de la Terre,1959,129,7.0,16005.0,Fantasy,Family,Adventure,Henry Levin,1909.0,1980.0,Robert Adler,Thayer David,Warren B. Delaplain,Joseph Kish,Henry Levin
tt0053125,movie,North by Northwest,La mort aux trousses,1959,136,8.3,302690.0,Thriller,Mystery,Adventure,Alfred Hitchcock,1899.0,1980.0,Alfred Hitchcock,Jimmy McHugh,Robert F. Boyle,Charles K. Hagedon,William A. Horning
tt0053172,movie,Pillow Talk,Confidences sur l'oreiller,1959,102,7.4,15879.0,Romance,Comedy,,Michael Gordon,1909.0,1993.0,Perry Blackwell,Ross Hunter,Julia Meade,Lois Rayman,I.J. Roth
tt0053198,movie,Les quatre cents coups,Les quatre cents coups,1959,99,8.1,107267.0,Drama,Crime,,François Truffaut,1932.0,1984.0,Robert Beauvais,Francis Cognany,Cécile Decugis,Luce Deuss,Renaud Fontanarosa
tt0053221,movie,Rio Bravo,Rio Bravo,1959,141,8.0,57015.0,Western,Drama,Action,Howard Hawks,1896.0,1977.0,Howard Hawks,Dean Martin,Bill Babcock,Cecil Combs,Michael Heindorf
tt0053291,movie,Some Like It Hot,Certains l'aiment chaud,1959,121,8.2,246992.0,Romance,Music,Comedy,Billy Wilder,1906.0,2002.0,Joe E. Brown,Beulah Christian,Paul Cristo,I.A.L. Diamond,Duke Fishman
tt0053459,movie,Les yeux sans visage,Les yeux sans visage,1960,90,7.7,28158.0,Horror,Drama,,Georges Franju,1912.0,1987.0,Pierre Boileau,Pierre Brasseur,Jean-Louis Castelli,Michel Etcheverry,François Guérin
tt0053472,movie,À bout de souffle,À bout de souffle,1960,90,7.8,74392.0,Drama,Crime,,Jean-Luc Godard,1930.0,0.0,Jean-Paul Belmondo,Richard Balducci,Daniel Boulanger,Van Doude,Henri-Jacques Huet
tt0053604,movie,The Apartment,La garçonnière,1960,125,8.3,166835.0,Romance,Drama,Comedy,Billy Wilder,1906.0,2002.0,Ayrton Amorín,Hope Holiday,Jack Kruschen,Daniel Mandell,Milt Rice
tt0053619,movie,L'avventura,L'aventure,1960,144,7.9,27040.0,Romance,Mystery,Drama,Michelangelo Antonioni,1912.0,2007.0,Michelangelo Antonioni,Giovanni Fusco,Fausto Ancillai,Fernando Cinquini,Angelo Corso
tt0053779,movie,La dolce vita,La douceur de vivre,1960,174,8.0,67557.0,Drama,Comedy,,Federico Fellini,1920.0,1993.0,Federico Fellini,Anita Ekberg,Nadia Balabine,Laura Betti,Valeria Ciangottini
tt0053946,movie,Inherit the Wind,Procès de singe,1960,128,8.1,27686.0,History,Drama,Biography,Stanley Kramer,1913.0,2001.0,Ernest Laszlo,Art Cole,Adolph Faylauer,Paul Hartman,Joe Lapis
tt0053976,movie,Jungfrukällan,La source,1960,89,8.1,27061.0,Drama,,,Ingmar Bergman,1918.0,2007.0,Evald Andersson,Gudrun Brost,Carl-Henry Cagarp,Leif Forstenberg,Oscar Ljung
tt0054047,movie,The Magnificent Seven,Les 7 mercenaires,1960,128,7.7,88602.0,Western,Adventure,Action,John Sturges,1910.0,1992.0,Elmer Bernstein,Thom Conroy,Francisco Day,Pepe Hern,Enrique Lucero
tt0054130,movie,La notte,La Nuit,1961,122,8.1,18765.0,Drama,,,Michelangelo Antonioni,1912.0,2007.0,Emanuele Cassuto,Giorgio Gaslini,Emanuele Cassuto,Giorgio Gaslini,Vittorio Bertolini
tt0054135,movie,Ocean's Eleven,L'inconnu de Las Vegas,1960,127,6.6,20216.0,Music,Crime,Comedy,Lewis Milestone,1895.0,1980.0,Cesar Romero,Joey Bishop,Ilka Chase,Jerry Dodgion,Nicolai Remisoff
tt0054167,movie,Peeping Tom,Le voyeur,1960,101,7.7,31894.0,Thriller,Horror,Drama,Michael Powell,1905.0,1990.0,Maxine Audley,Jim Body,Judith Coxhead,Pamela Green,Esmond Knight
tt0054215,movie,Psycho,Psychose,1960,109,8.5,612538.0,Thriller,Mystery,Horror,Alfred Hitchcock,1899.0,1980.0,Martin Balsam,John L. Russell,Frank Albertson,Robert Bloch,Robert Clatworthy
tt0054248,movie,Rocco e i suoi fratelli,Rocco et ses frères,1960,179,8.3,17116.0,Sport,Drama,Crime,Luchino Visconti,1906.0,1976.0,Max Cartier,Luigi Ceccarelli,Pasquale Festa Campanile,Spyros Fokas,Romolo Germano
tt0054387,movie,The Time Machine,La Machine à explorer le temps,1960,103,7.6,36547.0,Sci-Fi,Romance,Adventure,George Pal,1908.0,1980.0,Rod Taylor,Sebastian Cabot,Bob Barran,Doris Lloyd,William Shanks
tt0054389,movie,Tirez sur le pianiste,Tirez sur le pianiste,1960,81,7.5,17851.0,Thriller,Drama,Crime,François Truffaut,1932.0,1984.0,Robert Bober,Claudine Bouché,Félix Leclerc,Claude Mansard,Robert Bober
