tconst,titleType,originalTitle,title,startYear,runtimeMinutes,averageRating,numVotes,Main_genre,Sub_genre_1,Sub_genre_2,Directors,birthYear,deathYear,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
tt0107206,movie,In the Line of Fire,Dans la ligne de mire,1993,128,7.2,94150.0,Drama,Crime,Action,Wolfgang Petersen,1941.0,0.0,Brian McNulty,Al Dubin,Michael Adams,Edward Aiona,Jeff Apple
tt0107211,movie,Indecent Proposal,Proposition indécente,1993,117,6.0,64941.0,Romance,Drama,,Adrian Lyne,1941.0,0.0,Douglas L. Adam Jr.,Myra J.,Ritamarie Kelly,Joe La Due,Stuart Matthewman
tt0107282,movie,The Joy Luck Club,Le club de la chance,1993,139,7.7,15428.0,Drama,,,Wayne Wang,1949.0,0.0,Rosalind Chao,Mishka Chen,Kim Chew,Kieu Chinh,Jack Ford
tt0107286,movie,Judgment Night,La nuit du jugement,1993,110,6.7,15620.0,Drama,Crime,Action,Stephen Hopkins,1958.0,0.0,Amy L. Klein,Vernon Reid,Amy L. Klein,Vernon Reid,Morris Bension
tt0107290,movie,Jurassic Park,Jurassic Park,1993,127,8.1,879750.0,Sci-Fi,Adventure,Action,Steven Spielberg,1946.0,0.0,Richard Attenborough,Michael Fallavollita,Joshua Pines,Gary Rydstrom,Shawn Murphy
tt0107302,movie,Kalifornia,Kalifornia,1993,117,6.7,51318.0,Thriller,Drama,Crime,Dominic Sena,1949.0,0.0,Karen Broderick,Kimberly Buckley,Scott Carleton,Tommy Chappelle,Sandra Collins
tt0107362,movie,Last Action Hero,Last Action Hero,1993,130,6.4,138341.0,Comedy,Adventure,Action,John McTiernan,1951.0,0.0,Angie Everhart,Rick Rubin,William Walton,Aerosmith,Anthrax
tt0107426,movie,Little Buddha,Little Buddha,1993,123,6.1,15955.0,Drama,,,Bernardo Bertolucci,1941.0,2018.0,Chris Isaak,Marco Albertini,Sergio Ambrosi,Frederico Brasca,Robaire Charbonneau
tt0107473,movie,Mad Dog and Glory,Mad Dog and Glory,1993,97,6.2,20631.0,Drama,Crime,Comedy,John McNaughton,1950.0,0.0,Treva Bachand,Jack Clancy,Pene Hailes-Chambers,Doug Hara,Harry B. Hoynes
tt0107478,movie,Made in America,Made in America,1993,111,5.1,15805.0,Comedy,,,Richard Benjamin,1938.0,0.0,Katherine Agard,Oscar Briones,Carole Childs,Candace Crump,Charma Ferreira
tt0107497,movie,Malice,Malice,1993,107,6.4,23157.0,Thriller,Mystery,Crime,Harold Becker,1928.0,0.0,Adrianna Bernard,Susan Biesack,Matthew T. Clancy,Bobby Colomby,William Duff-Griffin
tt0107507,movie,Manhattan Murder Mystery,Meurtre mystérieux à Manhattan,1993,104,7.3,40850.0,Mystery,Comedy,,Woody Allen,1935.0,0.0,Joy Behar,Erroll Garner,Hans Hotter,David Hummel,Gloria Irizarry
tt0107554,movie,Menace II Society,Menace to Society,1993,97,7.5,52803.0,Thriller,Drama,Crime,,,,John L. Demps Jr.,Quincy Jones III,Jill Gurr,Dwayne Barnes,Michael Bennett
tt0107614,movie,Mrs. Doubtfire,Madame Doubtfire,1993,125,7.0,248992.0,Family,Drama,Comedy,Chris Columbus,1958.0,0.0,Harvey Fierstein,Lisa Jakub,Benne Alder,Carol Bawer,Todd McCune Bray
tt0107616,movie,Much Ado About Nothing,Beaucoup de bruit pour rien,1993,111,7.3,45628.0,Romance,Drama,Comedy,Kenneth Branagh,1960.0,0.0,Kenneth Branagh,Brian Aldridge,Patrick Doherty,Ben Elton,Nicholas Hall
tt0107653,movie,Naked,Naked,1993,132,7.8,35315.0,Drama,Comedy,,Mike Leigh,1943.0,0.0,Simon Channing Williams,Guy Hunt,Neil Lee,Deborah MacLaren,Susie Parriss
tt0107659,movie,Loaded Weapon 1,Alarme fatale,1993,84,6.2,44842.0,Crime,Comedy,Action,Gene Quintano,1946.0,0.0,Jon Lovitz,Michael 'Crash' Anderson,Brian Berkel,Ute Berthold,Erin L. Britos
tt0107665,movie,Needful Things,Le bazaar de l'épouvante,1993,120,6.3,23126.0,Fantasy,Drama,Crime,Fraser C. Heston,1955.0,0.0,Frank C. Turner,Heather Boyd,Valri Bromfield,Jim Burrage,Jeff Geneau
tt0107692,movie,Jûbê ninpûchô,Ninja Scroll,1993,94,7.9,34941.0,Animation,Adventure,Action,Yoshiaki Kawajiri,1950.0,0.0,John Ledford,Katsuji Mori,Tensai Okamura,Rintaro,Kenji Shibasaki
tt0107711,movie,Nowhere to Run,Cavale sans issue,1993,94,5.7,21973.0,Romance,Drama,Action,Robert Harmon,0.0,0.0,Camilla Fakhry-Smith,Tara Foran,James Greene,David Gribble,Richard Marquand
